case_id,source_id,dataset,split,condition,label,clean_probability,transformed_probability,error_type
EA-001,sid:validation:f87734c5daf8c300,sid,validation,jpeg_q30,0,0.565574049949646,0.9972999691963196,false_positive
EA-002,sid:validation:643c63910c99ca2c,sid,validation,heldout_webp_q50,0,0.995165467262268,0.9972814321517944,false_positive
EA-003,sid:validation:3997d8a069644c53,sid,validation,heldout_webp_q50,0,0.0124062690883874,0.9970101118087769,false_positive
EA-004,sid:validation:d2c9bb782a3f5cc9,sid,validation,heldout_webp_q50,0,0.9909911155700684,0.9969748258590698,false_positive
EA-005,sid:validation:0b24ea1127d40827,sid,validation,heldout_webp_q50,0,0.2308857887983322,0.9969369173049928,false_positive
EA-006,sid:validation:008bd3d88f33597e,sid,validation,heldout_webp_q50,0,0.9352474212646484,0.99667227268219,false_positive
EA-007,sid:validation:82cf3f1949d558f2,sid,validation,heldout_webp_q50,0,0.9834136366844176,0.9963591694831848,false_positive
EA-008,sid:validation:2f11aad293825249,sid,validation,noise_s0.10,0,0.0031106492970138,0.9962884187698364,false_positive
EA-009,sid:validation:9c34f5f6cce07610,sid,validation,heldout_jpeg_q20,0,0.1980255097150802,0.9957736134529114,false_positive
EA-010,sid:validation:7c3d89a219eb021d,sid,validation,heldout_webp_q50,0,0.1999749541282653,0.995641827583313,false_positive
EA-011,sid:validation:full_synthetic_004983,sid,validation,center_crop_0.8,1,0.0078773479908704,0.0029992242343723,false_negative
EA-012,sid:validation:full_synthetic_007302,sid,validation,center_crop_0.8,1,0.0050648520700633,0.0031474691350013,false_negative
EA-013,sid:validation:full_synthetic_005724,sid,validation,noise_s0.10,1,0.8257923126220703,0.0035616001114249,false_negative
EA-014,sid:validation:full_synthetic_003254,sid,validation,heldout_jpeg_q50_resize_0.5,1,0.0073163206689059,0.0036171574611216,false_negative
EA-015,sid:validation:full_synthetic_009498,sid,validation,noise_s0.10,1,0.9843240976333618,0.0046046846546232,false_negative
EA-016,sid:validation:full_synthetic_009089,sid,validation,blur_s2.0,1,0.0095702810212969,0.0046519497409462,false_negative
EA-017,sid:validation:full_synthetic_008091,sid,validation,center_crop_0.8,1,0.901826798915863,0.0049782507121562,false_negative
EA-018,sid:validation:full_synthetic_005484,sid,validation,heldout_jpeg_q20,1,0.1159113347530365,0.0056482735089957,false_negative
EA-019,sid:validation:full_synthetic_008026,sid,validation,noise_s0.05,1,0.7051750421524048,0.0071889264509081,false_negative
EA-020,sid:validation:full_synthetic_000298,sid,validation,noise_s0.10,1,0.975279688835144,0.0074951350688934,false_negative
EA-021,sid:validation:2f11aad293825249,sid,validation,noise_s0.10,0,0.0031106492970138,0.9962884187698364,clean_to_transformed_flip
EA-022,sid:validation:4608d007573c1183,sid,validation,heldout_webp_q50,0,0.0039417357183992,0.9955898523330688,clean_to_transformed_flip
EA-023,sid:validation:6852a5eec62aac6a,sid,validation,heldout_webp_q50,0,0.0055298386141657,0.9908522963523864,clean_to_transformed_flip
EA-024,sid:validation:3997d8a069644c53,sid,validation,heldout_webp_q50,0,0.0124062690883874,0.9970101118087769,clean_to_transformed_flip
EA-025,sid:validation:full_synthetic_000475,sid,validation,noise_s0.05,1,0.9957681894302368,0.0112342489883303,clean_to_transformed_flip
EA-026,sid:validation:e6c015d733f57c2a,sid,validation,heldout_webp_q50,0,0.0107280705124139,0.99404776096344,clean_to_transformed_flip
EA-027,sid:validation:4831a4032b655a71,sid,validation,heldout_webp_q50,0,0.0058031869120895,0.9856716394424438,clean_to_transformed_flip
EA-028,sid:validation:full_synthetic_009498,sid,validation,noise_s0.10,1,0.9843240976333618,0.0046046846546232,clean_to_transformed_flip
EA-029,sid:validation:11ac72ebb92d8af5,sid,validation,heldout_webp_q50,0,0.0057406448759138,0.9815409183502196,clean_to_transformed_flip
EA-030,sid:validation:0c84950f861fb6d7,sid,validation,heldout_webp_q50,0,0.0034939041361212,0.9725384712219238,clean_to_transformed_flip
